Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1305,Lentinula,edodes,SH 322 #3,F2,11,2/10/2020,9,2/24/2020,NA
1309,Lentinula,edodes,W4,F2,6,2/26/2020,9,3/10/2020,NA
1137,Laricifomes,officinalis,XV (15)- Ellinor,F2,3,2/26/2020,9,3/16/2020,NA
1134,Laricifomes,officinalis,XLVI (46) - Sacramento,F2,2,2/26/2020,9,3/16/2020,NA
1088,Laricifomes,officinalis,I- Morton,F2,3,2/26/2020,9,3/17/2020,NA
1079,Laricifomes,officinalis,C/D,F2,4,2/26/2020,9,3/17/2020,NA
1095,Laricifomes,officinalis,MPVW,F1,4,2/26/2020,9,3/20/2020,NA
1080,Laricifomes,officinalis,Chip,F1,3,2/26/2020,9,3/20/2020,NA
1145,Laricifomes,officinalis,XXIX (29)- Capitol Forest,F1,2,2/26/2020,9,3/23/2020,NA
1155,Laricifomes,officinalis,XXXIX (39) - Mud Bay,F1,2,2/26/2020,9,3/23/2020,NA
1140,Laricifomes,officinalis,XVIII (18) #67318 (Ellinor),F1,2,2/26/2020,9,3/30/2020,NA
1089,Laricifomes,officinalis,IV (4)- Elwha,F1,3,5/5/2020,9,5/27/2020,NA
1116,Laricifomes,officinalis,VIII (8)- #67318,F1,4,5/5/2020,9,5/27/2020,NA
1153,Laricifomes,officinalis,XXXIIIa (33a)- North Cascades II,E8,2,5/5/2020,9,5/28/2020,NA
1158,Laricifomes,officinalis,XXXVII (37)- Gold Creek,E8,2,5/5/2020,9,5/28/2020,NA
1138,Laricifomes,officinalis,XVI (16)- Boulder Creek,E8,3,5/5/2020,9,5/29/2020,NA
1156,Laricifomes,officinalis,XXXV (35)- Slovenia II,E8,2,5/5/2020,9,5/29/2020,NA
1123,Laricifomes,officinalis,XII (12)- Spider Lake,F1,2,5/5/2020,9,6/1/2020,Fo XII Spider Lake P2 5-5-20
1154,Laricifomes,officinalis,XXXIV (34)- Slovenia,F1,2,5/5/2020,9,6/1/2020,Fo XXXIV Slov. P2 5-5-20
1115,Laricifomes,officinalis,VII (7)- Dungeness,E7,2,5/5/2020,9,6/2/2020,NA
