Accession Number,Genus,Species,Strain,Location,Pvalue,Inoc Date,Date Frozen,Date Thawed,n Tubes Thawed,n Plates,Viable
1061,Flammulina,velutipes,IV - #58/1423,D7,6,5/17/2021,6/1/2021,6/3/2021,2,6,6
1335,Morchella,esculenta,M18,D6,7,5/17/2021,6/3/2021,6/7/2021,2,6,6
1373,Pleurotus,eryngii,I,D7,2,5/21/2021,6/3/2021,6/7/2021,2,6,6
1409,Pleurotus,pulmonarius,I,D6,2,5/21/2021,6/8/2021,6/10/2021,2,6,6
1425,Wolfiporia,cocos,I,D6,2,5/21/2021,6/15/2021,6/16/2021,2,6,6
1426,Wolfiporia,cocos,II,D7,2,5/21/2021,6/3/2021,6/7/2021,2,6,6
1409,Pleurotus,pulmonarius,I,D6,2,5/21/2021,6/7/2021,12/9/2021,1,4,4
1299,Lentinula,edodes,MM,D6,17,6/1/2021,6/15/2021,6/16/2021,2,6,6
1383,Pleurotus,ostreatus,CBOST,D6,15,6/3/2021,6/15/2021,6/16/2021,2,6,6
1051,Cryomyces,antarcticus,CBS 116301,D5,1,6/7/2021,8/4/2021,8/6/2021,2,6,5
1339,Morchella,sp,M29,D6,2,6/10/2021,6/28/2021,6/30/2021,2,6,6
1013,Agaricus,brunnescens,Portobello,D6,2,6/15/2021,6/28/2021,6/30/2021,2,6,6
1000,Agaricus,augustus,I,D5,13,6/29/2021,7/26/2021,7/29/2021,2,6,6
1039,Coprinus,comatus,K08,D5,2,6/29/2021,7/26/2021,7/29/2021,2,6,6
1085,Fomitopsis,officinalis,Fairy Creek,D5,1,7/15/2021,8/4/2021,8/6/2021,2,6,6
1085,Fomitopsis,officinalis,Fairy Creek,D5,1,7/15/2021,8/4/2021,1/14/2022,1,4,3
1088,Fomitopsis,officinalis,I- Morton,D5,1,7/20/2021,8/16/2021,8/18/2021,2,6,6
1089,Fomitopsis,officinalis,IV (4)- Elwha,D5,2,7/20/2021,8/16/2021,8/18/2021,2,6,6
1074,Fomitopsis,officinalis,Anvil Lake BC,D4,4,7/21/2021,8/23/2021,8/24/2021,2,6,6
1091,Fomitopsis,officinalis,Kitsap,D5,2,7/21/2021,8/16/2021,8/18/2021,2,6,6
1133,Fomitopsis,officinalis,XLV (45) - Baker,D4,2,7/21/2021,8/23/2021,8/24/2021,2,6,6
1136,Fomitopsis,officinalis,XLVIII (48) - Taylor River,D4,2,7/21/2021,8/17/2021,8/19/2021,2,6,6
1132,Fomitopsis,officinalis,XLIX (49) - Spider Lake II,D3,2,7/21/2021,8/23/2021,8/26/2021,2,6,6
1131,Fomitopsis,officinalis,XLIV (44) - Cold Spring,D4,2,7/21/2021,8/17/2021,8/19/2021,2,6,6
1112,Fomitopsis,officinalis,Vancouver Island,D4,3,7/21/2021,8/23/2021,8/24/2021,2,6,6
1076,Fomitopsis,officinalis,Beachie Creek,D4,1,7/21/2021,8/17/2021,8/19/2021,2,6,6
1105,Fomitopsis,officinalis,Sleeping Beauty Trail,D3,1,7/21/2021,8/26/2021,9/2/2021,2,6,6
1116,Fomitopsis,officinalis,VIII (8)- #67318,D3,2,7/21/2021,8/24/2021,8/27/2021,2,6,6
1076,Fomitopsis,officinalis,Beachie Creek,D4,1,7/21/2021,8/17/2021,1/14/2022,1,4,4
1146,Fomitopsis,officinalis,XXV (25)- #75,D3,2,7/22/2021,8/26/2021,9/2/2021,2,6,6
1138,Fomitopsis,officinalis,XVI (16)- Boulder Creek,D3,2,7/22/2021,8/24/2021,8/27/2021,2,6,6
1148,Fomitopsis,officinalis,XXVII (27)- Ellinor Lake,D4,2,7/22/2021,8/23/2021,8/26/2021,2,6,6
1150,Fomitopsis,officinalis,XXX (30)- Humboldt Willow Creek,D4,2,7/22/2021,8/18/2021,8/20/2021,2,6,6
1127,Fomitopsis,officinalis,XL (40) - Goldmeyer Hot Springs,D2,2,7/22/2021,9/2/2021,9/13/2021,2,6,6
1128,Fomitopsis,officinalis,XLI (41) - Powell River,D4,2,7/22/2021,8/23/2021,8/26/2021,2,6,6
1099,Fomitopsis,officinalis,Raging River,D5,2,7/22/2021,8/18/2021,8/20/2021,2,6,6
1101,Fomitopsis,officinalis,Rock Candy Mtn,D3,5,7/22/2021,8/24/2021,8/27/2021,2,6,6
1082,Fomitopsis,officinalis,Duckabush,D5,2,7/22/2021,8/18/2021,8/20/2021,2,6,6
1101,Fomitopsis,officinalis,Rock Candy Mtn,D3,5,7/22/2021,8/24/2021,1/14/2022,1,4,4
1111,Fomitopsis,officinalis,V (5) - Cortes,D3,3,8/10/2021,9/2/2021,9/13/2021,2,6,6
1137,Fomitopsis,officinalis,XV (15)- Ellinor,D3,2,8/10/2021,9/2/2021,9/13/2021,2,6,6
1083,Fomitopsis,officinalis,East Tyrol,D3,3,8/10/2021,8/26/2021,9/2/2021,2,6,6
1058,Flammulina,populicola,NC,D2,15,9/3/2021,9/21/2021,9/24/2021,2,6,6
1042,Cordyceps,militaris,Cordyzilla,D2,4,9/14/2021,10/7/2021,10/11/2021,2,6,6
1064,Fomes,fomentarius,France,D2,2,9/14/2021,10/4/2021,10/7/2021,2,6,6
1040,Coprinopsis,nivea,I,D1,4,9/14/2021,10/14/2021,10/15/2021,2,6,6
1163,Fomitopsis,pinicola,I,D2,3,9/14/2021,10/7/2021,10/11/2021,2,6,6
1162,Fomitopsis,pinicola,Hoh,D1,2,9/14/2021,10/14/2021,10/15/2021,2,6,6
1164,Fomitopsis,pinicola,Tatoosh,D2,2,9/14/2021,10/4/2021,10/7/2021,2,6,6
1070,Fomitiporia,robusta,I,D2,2,9/16/2021,10/4/2021,10/7/2021,2,6,6
1071,Rhodofomes,cajanderi,I,D2,3,9/16/2021,10/7/2021,10/11/2021,2,6,6
1072,Fomitopsis,ochracea,Salt Spring Island BC,D1,2,9/16/2021,10/14/2021,10/15/2021,2,6,6
1217,Hericium,abietis,I,C8,15,9/30/2021,11/1/2021,11/3/2021,2,6,6
1188,Ganoderma,oregonense,IV-Elwha,D1,5,10/8/2021,10/21/2021,10/25/2021,2,6,6
1195,Ganoderma,polychromum,Olympia Madison,D1,3,10/8/2021,10/21/2021,10/25/2021,2,6,6
1183,Ganoderma,oregonense,Cortes Carrington,D1,3,10/8/2021,10/21/2021,10/25/2021,2,6,6
1182,Ganoderma,neojaponicum,13102,D1,11,10/8/2021,10/22/2021,10/25/2021,2,6,6
1194,Ganoderma,polychromum,Olympia,D1,2,10/8/2021,10/22/2021,10/25/2021,2,6,6
1168,Ganoderma,applanatum,I- Mason County Staircase,C8,3,10/8/2021,10/25/2021,10/29/2021,2,6,3
1184,Ganoderma,oregonense,Depoe Bay,D1,3,10/8/2021,10/22/2021,10/25/2021,2,6,6
1168,Ganoderma,applanatum,I- Mason County Staircase,C8,3,10/8/2021,10/25/2021,11/2/2021,8,0,0
1191,Ganoderma,oregonense,Skok,C8,2,10/12/2021,11/1/2021,11/3/2021,2,6,6
1172,Ganoderma,applanatum,U. of Virginia,C8,3,10/12/2021,10/26/2021,10/29/2021,2,6,6
1185,Ganoderma,oregonense,Evergreen,C8,2,10/12/2021,10/25/2021,10/29/2021,2,6,6
1189,Ganoderma,oregonense,Marys Pt Cortes Island,C8,2,10/12/2021,10/26/2021,10/29/2021,2,6,6
1187,Ganoderma,oregonense,III-Elwha,C8,2,10/12/2021,10/25/2021,10/29/2021,2,6,6
1166,Polyporus,annulatus,I,C8,3,10/12/2021,10/26/2021,10/29/2021,2,6,6
1193,Ganoderma,oregonense,V-Elwha,C7,3,10/21/2021,11/10/2021,11/15/2021,2,6,6
1170,Ganoderma,applanatum,III-Garfield,C8,4,10/21/2021,11/1/2021,11/3/2021,2,6,6
1015,Agaricus,lilaceps,I,C6,13,10/21/2021,11/16/2021,11/18/2021,2,6,6
1199,Grifola,frondosa,21g,C7,4,10/26/2021,11/15/2021,11/17/2021,2,6,6
1204,Grifola,frondosa,Georgia,C7,2,10/26/2021,11/15/2021,11/17/2021,2,6,6
1210,Grifola,frondosa,Walden I,C7,4,10/26/2021,11/15/2021,11/17/2021,2,6,6
1211,Grifola,frondosa,Walden II,C7,3,10/26/2021,11/10/2021,11/15/2021,2,6,6
1212,Grifola,frondosa,WV,C7,3,10/26/2021,11/10/2021,11/15/2021,2,6,6
1208,Grifola,frondosa,Mass.,C6,2,10/28/2021,11/16/2021,11/18/2021,2,6,6
1205,Grifola,frondosa,GF/PA/HL,C6,3,10/28/2021,11/16/2021,11/18/2021,2,6,6
1200,Grifola,frondosa,Arora,C7,4,10/28/2021,11/16/2021,11/17/2021,2,6,6
1203,Grifola,frondosa,Franklin Maitake,C7,2,10/28/2021,11/16/2021,11/17/2021,2,6,6
1202,Grifola,frondosa,Concord Mass.,C7,3,10/28/2021,11/16/2021,11/17/2021,2,6,6
1077,Fomitopsis,officinalis,Boulder Creek II,C6,1,11/16/2021,12/9/2021,12/10/2021,2,6,6
1096,Fomitopsis,officinalis,Mt Ellinor Lower Trail Head,C6,1,11/16/2021,12/9/2021,12/10/2021,2,6,6
1218,Hericium,abietis,Mt Ellinor,C5,1,11/16/2021,12/20/2021,1/3/2022,2,6,6
1167,Ganoderma,applanatum,God's Thumb,C6,1,11/16/2021,12/1/2021,12/9/2021,2,6,6
1427,Psathyrella,ammophila,Grayland Beach,C5,1,11/16/2021,1/3/2022,1/12/2022,2,6,6
1278,Laetiporus,conifericola,Depoe Bay,C6,3,11/16/2021,12/9/2021,12/10/2021,2,6,6
1196,Ganoderma,tsugae,76542,C6,21,11/16/2021,12/1/2021,12/9/2021,2,6,6
1077,Fomitopsis,officinalis,Boulder Creek II,C6,1,11/16/2021,12/9/2021,1/14/2022,1,4,3
1229,Hericium,erinaceus,V- White House (WH),C4,2,12/2/2021,1/13/2022,1/14/2022,2,6,6
1226,Hericium,erinaceus,IV- NY Ave DC,C5,2,12/2/2021,1/12/2022,1/14/2022,2,6,6
1221,Hericium,coralloides,HE/MD I,C5,7,12/2/2021,1/12/2022,1/14/2022,2,6,6
1220,Hericium,abietis,Vanson Ridge,C5,1,12/2/2021,1/3/2022,1/12/2022,2,6,6
1442,Sparassis,radicata,Boulder Creek,C5,1,12/2/2021,1/12/2022,1/14/2022,2,6,6
1168,Ganoderma,applanatum,I- Mason County Staircase,C5,3,12/2/2021,12/20/2021,1/3/2022,2,6,6
1231,Hericium,erinaceus,VII- Priest Point,C4,2,12/2/2021,1/13/2022,1/20/2022,2,6,6
1227,Hericium,erinaceus,IX- Maddocks,C5,2,12/2/2021,1/13/2022,1/14/2022,2,6,6
1216,Hericium,abietis,Big Mosquito Lake,C5,1,12/2/2021,1/3/2022,1/12/2022,2,6,6
1233,Heterobasidion,annosum,Dosewallips,C4,2,12/2/2021,1/3/2022,1/14/2022,2,6,6
1234,Heterobasidion,annosum,I,C6,2,12/2/2021,12/20/2021,1/3/2022,2,6,6
1215,Gymnopilus,sp,Mass,C2,2,1/21/2022,3/2/2022,3/7/2022,2,6,6
1269,Inonotus,obliquus,II Q,C3,6,1/21/2022,2/9/2022,2/17/2022,2,6,6
1239,Hypholoma,capnoides,Georgia Pacific,C2,2,1/21/2022,3/2/2022,3/7/2022,2,6,6
1240,Hypholoma,capnoides,Graves Creek,C4,2,1/21/2022,2/8/2022,2/10/2022,2,6,6
1236,Hypholoma,capnoides,Cortes,C2,5,1/21/2022,3/3/2022,3/7/2022,2,6,6
1245,Hypholoma,capnoides,Sol Duc,C4,12,1/21/2022,2/7/2022,2/9/2022,2,6,6
1244,Hypholoma,capnoides,IV- kpt.,C2,7,1/21/2022,3/2/2022,3/7/2022,2,6,6
1243,Hypholoma,capnoides,III- Kamilche,C4,16,1/21/2022,2/7/2022,2/9/2022,2,6,6
1242,Hypholoma,capnoides,II- Oregon,C4,8,1/21/2022,2/7/2022,2/9/2022,2,6,6
1241,Hypholoma,capnoides,I- Wash,C4,16,1/21/2022,2/8/2022,2/10/2022,2,6,6
1250,Hypsizygus,marmoreus,#kvcm540,C3,11,1/28/2022,2/9/2022,2/17/2022,2,6,6
1249,Hypsizygus,marmoreus,#81 Omon,C3,13,1/28/2022,2/9/2022,2/17/2022,2,6,6
1406,Pleurotus,columbinus,#Fujian,C4,3,1/28/2022,2/8/2022,2/10/2022,2,6,6
1256,Hypsizygus,tessulatus,HTU,C3,18,1/28/2022,2/16/2022,2/18/2022,2,6,6
1253,Hypsizygus,tessulatus,#180892,C3,3,1/28/2022,2/16/2022,2/18/2022,2,6,6
1254,Hypsizygus,tessulatus,#187883,C3,4,1/31/2022,2/16/2022,2/18/2022,2,6,6
1255,Hypsizygus,tessulatus,#190991,C2,6,1/31/2022,2/21/2022,2/25/2022,2,6,6
1257,Hypsizygus,tessulatus,TELL-2011-I,C2,2,1/31/2022,2/21/2022,2/25/2022,2,6,6
1392,Pleurotus,ostreatus,I - #189249,C3,3,1/31/2022,2/17/2022,2/21/2022,2,6,6
1263,Hypsizygus,ulmarius,F2950,C1,10,1/31/2022,3/4/2022,3/7/2022,2,6,6
1259,Hypsizygus,ulmarius,#16138,C2,3,1/31/2022,3/3/2022,3/7/2022,2,6,6
1260,Hypsizygus,ulmarius,#48725,C2,10,1/31/2022,3/3/2022,3/7/2022,2,6,6
1261,Hypsizygus,ulmarius,#198518,C3,9,1/31/2022,2/17/2022,2/21/2022,2,6,6
1251,Hypsizygus,sp,UT #3364,C3,8,1/31/2022,2/17/2022,2/21/2022,2,6,6
1414,Pleurotus,sp,UT #8167,C2,4,1/31/2022,2/21/2022,2/25/2022,2,6,6
1258,Hypsizygus,tessulatus,TELL-2011-II,C1,3,2/3/2022,3/7/2022,3/11/2022,2,6,6
1269,Inonotus,obliquus,II Q,C1,5,2/3/2022,3/4/2022,3/7/2022,2,6,6
1270,Inonotus,obliquus,III Cambridge,C1,3,2/3/2022,3/7/2022,3/11/2022,2,6,6
1272,Inonotus,obliquus,Mass - Bernat,C1,3,2/3/2022,3/7/2022,3/11/2022,2,6,6
1271,Inonotus,obliquus,Mass IV,C1,4,2/3/2022,3/4/2022,3/7/2022,2,6,6
1213,Gymnopilus,luteofolius,I,B8,15,3/3/2022,3/28/2022,3/30/2022,2,6,6
1266,Pseudoinonotus,dryadeus,I,B8,2,3/3/2022,3/28/2022,3/30/2022,2,6,6
1267,Inocutis,dryophila,I,C1,2,3/3/2022,3/22/2022,3/24/2022,2,6,6
1276,Irpex,lacteus,FPCD,C1,6,3/3/2022,3/22/2022,3/24/2022,2,6,6
1275,Irpex,lacteus,FO 9,C1,2,3/3/2022,3/22/2022,3/24/2022,2,6,6
1285,Laetiporus,sulphureus,Mass PS,B8,3,3/8/2022,3/30/2022,3/31/2022,2,6,6
1277,Laetiporus,conifericola,Complete PS,B8,4,3/8/2022,3/30/2022,3/31/2022,2,6,6
1279,Laetiporus,conifericola,Toad,B8,2,3/8/2022,3/30/2022,3/31/2022,2,6,6
1281,Laetiporus,montanus,JC,B8,2,3/8/2022,3/30/2022,4/5/2022,2,6,6
1282,Laetiporus,sulphureus,I,B8,18,3/8/2022,3/30/2022,4/5/2022,2,6,6
1284,Laetiporus,sulphureus,Mass,B7,2,3/8/2022,3/31/2022,4/5/2022,2,6,6
1288,Omphalotus,guepiniiformis,I,B8,5,3/8/2022,3/30/2022,4/5/2022,2,6,6
1280,Laetiporus,conifericola,FPCD,B6,18,3/9/2022,4/6/2022,4/8/2022,2,6,6
1287,Laetiporus,sulphureus,PS Polyporus,B7,22,3/9/2022,4/5/2022,4/8/2022,2,6,6
1286,Laetiporus,sulphureus,Plum Tree Oly,B7,2,3/9/2022,3/31/2022,4/5/2022,2,6,6
1311,Lentinula,edodes,WG,B7,23,3/9/2022,4/6/2022,4/8/2022,2,6,6
1309,Lentinula,edodes,W4,B7,5,3/9/2022,4/6/2022,4/8/2022,2,6,5
1307,Lentinula,edodes,U8,B8,20,3/9/2022,3/28/2022,3/30/2022,2,6,6
1289,Lentinula,edodes,336 Krcm Omon,B7,13,3/9/2022,4/5/2022,4/8/2022,2,6,6
1304,Lentinula,edodes,SH 1321 #2,B7,11,3/9/2022,4/5/2022,4/8/2022,2,6,6
1294,Lentinula,edodes,CW krcm 221,B7,10,3/9/2022,3/31/2022,4/5/2022,2,6,6
1300,Lentinula,edodes,MSNP,B7,7,3/9/2022,4/6/2022,4/8/2022,2,6,6
1295,Lentinula,edodes,Franklin #3120,B6,2,3/10/2022,4/6/2022,4/8/2022,2,6,6
1310,Lentinula,edodes,WC 376,B6,10,3/10/2022,4/7/2022,4/22/2022,2,6,6
1312,Lentinula,edodes,WW krcm 324,B6,15,3/10/2022,4/22/2022,4/29/2022,2,6,6
1291,Lentinula,edodes,Chocolove,B6,3,3/10/2022,4/7/2022,4/22/2022,2,6,6
1301,Lentinula,edodes,Night Velvet,B6,3,3/10/2022,4/7/2022,4/22/2022,2,6,6
1298,Lentinula,edodes,Miss Happiness,B6,3,3/10/2022,4/6/2022,4/8/2022,2,6,6
1322,Macrolepiota,procera,I-J297,B6,10,3/10/2022,4/22/2022,4/29/2022,2,6,6
1323,Macrolepiota,procera,II-J297 Kamilche,B6,9,3/10/2022,4/22/2022,4/29/2022,2,6,6
1328,Marasmiellus,sp,Tatoosh,B5,3,9/15/2022,9/26/2022,9/28/2022,2,6,6
1319,Leratiomyces,ceres,I,B5,3,9/15/2022,9/26/2022,9/28/2022,2,6,6
1113,Fomitopsis,officinalis,Vanson Ridge,B4,1,9/27/2022,10/24/2022,10/27/2022,2,6,6
1110,Fomitopsis,officinalis,Upper Alpine II,B3,1,9/27/2022,10/31/2022,11/3/2022,2,6,6
1081,Fomitopsis,officinalis,Cloverpatch,B3,1,9/27/2022,10/24/2022,10/27/2022,2,6,6
1161,Fomitopsis,officinalis,Yacolt Upper Cold Creek,B4,1,9/27/2022,10/17/2022,10/21/2022,2,6,6
1160,Fomitopsis,officinalis,Yacolt Sixth Sense,B3,1,9/27/2022,10/24/2022,10/27/2022,2,6,6
1078,Fomitopsis,officinalis,Camas Creek,B4,1,9/27/2022,10/17/2022,10/20/2022,2,6,6
1316,Lepista,nuda,I,B3,8,9/29/2022,11/2/2022,11/3/2022,2,6,6
1331,Morchella,angusticeps,Black Morel,B5,7,9/29/2022,10/12/2022,10/14/2022,2,6,6
1333,Morchella,angusticeps,M28-Skokomish,B5,8,9/29/2022,10/10/2022,10/14/2022,2,6,6
1403,Pleurotus,ostreatus,SA,B5,7,9/29/2022,10/12/2022,10/14/2022,2,6,6
1390,Pleurotus,ostreatus,Hoh,B2,11,9/29/2022,11/2/2022,11/3/2022,2,6,6
1380,Pleurotus,nebrodensis,Hunan #2,B4,2,9/29/2022,10/17/2022,10/21/2022,2,6,6
1389,Pleurotus,ostreatus,Gulf,B4,5,9/30/2022,10/17/2022,10/20/2022,2,6,6
1381,Pleurotus,ostreatus,Agate,B2,2,9/30/2022,11/2/2022,11/16/2022,2,6,6
1378,Pleurotus,nebrodensis,Baltimore,B5,2,9/30/2022,10/12/2022,10/14/2022,2,6,6
1377,Pleurotus,nebrodensis,# 1023,B4,2,9/30/2022,10/20/2022,10/21/2022,2,6,6
1350,Tropicoporus,linteus,III B,B4,4,9/30/2022,10/17/2022,10/21/2022,2,6,6
1391,Pleurotus,ostreatus,Hope Island,B4,2,9/30/2022,10/20/2022,10/21/2022,2,6,6
1396,Pleurotus,ostreatus,Macah Tatoosh,B3,2,9/30/2022,11/2/2022,11/3/2022,2,6,6
1363,Fomitopsis,betulina,Norway,B2,2,9/30/2022,11/1/2022,11/3/2022,2,6,6
1362,Fomitopsis,betulina,Mass,B3,2,9/30/2022,11/1/2022,11/3/2022,2,6,6
1424,Polyporus,umbellatus,I,B5,7,9/30/2022,10/10/2022,10/14/2022,2,6,6
1456,Trametes,versicolor,Breitenbush,B5,2,9/30/2022,10/10/2022,10/14/2022,2,6,6
1092,Fomitopsis,officinalis,Lake Limerick,B3,1,9/30/2022,10/31/2022,11/3/2022,2,6,6
1344,Sarcomyxa,serotina,I,B4,14,9/30/2022,10/20/2022,10/21/2022,2,6,6
1398,Pleurotus,ostreatus,Nisqually II,B2,2,9/30/2022,11/2/2022,11/16/2022,2,6,6
1393,Pleurotus,ostreatus,Kamilche - I,B5,3,9/30/2022,10/17/2022,10/20/2022,2,6,6
1022,Auricularia,nigricans,Hunan,B3,17,10/10/2022,11/1/2022,11/3/2022,2,6,6
1370,Pleurotus,djamor,I,B2,13,10/10/2022,11/9/2022,11/17/2022,2,6,6
1053,Cyathus,striatus,Burri Park,B3,1,10/10/2022,10/31/2022,11/3/2022,2,6,6
1008,Agaricus,brasiliensis,Hunan,B2,5,10/17/2022,11/9/2022,11/17/2022,2,6,6
1411,Pleurotus,pulmonarius,Pine Oyster,B2,3,10/31/2022,11/17/2022,11/28/2022,2,6,6
1361,Fomitopsis,betulina,Kirpala,B1,2,10/31/2022,11/28/2022,12/2/2022,2,6,6
1434,Rigidoporus,ulmarius,#439,B2,6,11/1/2022,11/17/2022,11/28/2022,2,6,6
1349,Tropicoporus,linteus,II A,B1,4,11/1/2022,12/2/2022,12/7/2022,2,6,6
1422,Polyporus,umbellatus,#60546,B1,3,11/1/2022,11/28/2022,12/2/2022,2,6,6
1400,Pleurotus,ostreatus,Oxbow,B1,17,11/1/2022,12/2/2022,12/7/2022,2,6,6
1317,Lepista,nuda,II-Kamilche,B1,16,11/1/2022,11/28/2022,12/2/2022,2,6,6
1003,Agaricus,bitorquis,Euro II,A8,27,11/2/2022,1/10/2023,1/12/2023,2,6,6
1443,Stropharia,ambigua,FP,B1,2,11/2/2022,11/28/2022,12/2/2022,2,6,6
1362,Fomitopsis,betulina,Mass,A8,2,11/2/2022,12/12/2022,12/15/2022,2,6,6
1379,Pleurotus,nebrodensis,Fujian,B1,2,11/2/2022,11/28/2022,12/2/2022,2,6,6
1376,Pleurotus,nebrodensis,# 1019,B1,2,11/2/2022,12/2/2022,12/7/2022,2,6,6
1444,Stropharia,ambigua,I,B1,5,11/2/2022,11/28/2022,12/2/2022,2,6,6
1087,Fomitopsis,officinalis,High Rock,A8,1,11/17/2022,12/12/2022,12/15/2022,2,6,6
1449,Stropharia,rugosoannulata,III,A8,2,11/17/2022,12/15/2022,1/12/2023,2,6,6
1445,Stropharia,ambigua,II,A8,2,11/17/2022,12/15/2022,1/12/2023,2,6,6
1448,Stropharia,rugosoannulata,II,A8,5,11/18/2022,12/15/2022,1/12/2023,2,6,6
1447,Stropharia,rugosoannulata,I,A8,12,11/18/2022,12/12/2022,12/15/2022,2,6,6
1420,Polyporus,umbellatus,#2797,A7,3,12/12/2022,1/12/2023,1/17/2023,2,6,6
1418,Polyporus,tuberaster,PPTA,A8,13,12/12/2022,1/10/2023,1/12/2023,2,6,6
1432,Deconica,coprophila,I,A7,2,12/12/2022,1/12/2023,1/17/2023,2,6,6
1451,Taiwanofungus,camphoratus,I,A7,3,12/12/2022,1/12/2023,1/17/2023,2,6,6
1352,Phlebia,radiata,FO 121,A7,2,1/6/2023,1/17/2023,1/23/2023,2,6,6
1360,Fomitopsis,betulina,Ithaca,A7,2,1/6/2023,1/17/2023,1/23/2023,2,6,6
1359,Fomitopsis,betulina,I,A6,8,1/6/2023,1/24/2023,1/27/2023,2,6,6
1332,Morchella,angusticeps,M11,A6,5,1/6/2023,1/20/2023,1/24/2023,2,6,6
1466,Trametes,versicolor,SGF NY,A6,2,1/6/2023,1/20/2023,1/24/2023,2,6,6
1336,Morchella,esculenta,M27,A7,6,1/6/2023,1/16/2023,1/20/2023,2,6,6
1338,Morchella,sp,Lab - Kamilche,A7,2,1/6/2023,1/16/2023,1/20/2023,2,6,6
1462,Trametes,versicolor,Makah Tatoosh,A7,2,1/6/2023,1/16/2023,1/20/2023,2,6,6
1452,Tolypocladium,inflatum,LH A,A7,3,1/6/2023,1/17/2023,1/23/2023,2,6,6
1453,Tolypocladium,inflatum,LH B,A6,3,1/6/2023,1/20/2023,1/24/2023,2,6,6
1454,Trametes,elegans,I,A6,2,1/6/2023,1/23/2023,1/24/2023,2,6,6
1455,Trametes,elegans,SGF NY,A6,2,1/6/2023,1/23/2023,1/24/2023,2,6,6
1457,Trametes,versicolor,Ft. Stevens,A6,2,1/6/2023,1/23/2023,1/24/2023,2,6,6
1461,Trametes,versicolor,Kamilche Trail,A6,5,1/6/2023,1/24/2023,1/27/2023,2,6,6
1353,Pholiota,adiposa,#38781,A5,3,1/9/2023,1/31/2023,2/14/2023,2,6,6
1399,Pleurotus,ostreatus,OST R1,A6,14,1/9/2023,1/24/2023,1/27/2023,2,6,6
1356,Pholiota,sp,Georgia Pacific F.B. 5,A5,2,1/9/2023,1/31/2023,2/14/2023,2,6,6
1355,Pholiota,sp,Georgia Pacific F.B. 4,A5,2,1/12/2023,2/14/2023,2/17/2023,2,6,6
1386,Pleurotus,ostreatus,Cortes Gunflint,A5,2,1/12/2023,1/31/2023,2/14/2023,2,6,6
1320,Lyophyllum,decastes,Georgia Pacific,A5,3,1/12/2023,2/14/2023,2/17/2023,2,6,6
1351,Phellinus,robiniae,I,A5,2,1/25/2023,2/14/2023,2/17/2023,2,6,6
1341,Mycenaceae,sp,I,A4,2,1/25/2023,2/22/2023,2/28/2023,2,6,6
1357,Pholiota,sp,Tatoosh Makah,A5,2,1/25/2023,2/15/2023,2/20/2023,2,6,6
1448,Stropharia,rugosoannulata,II,A5,5,1/25/2023,2/15/2023,2/20/2023,2,6,6
1438,Sparassis,crispa,II Europe,A3,20,1/25/2023,2/28/2023,3/2/2023,2,6,NA
1429,Psathyrella,aquatica,C2,A4,4,1/25/2023,2/22/2023,2/28/2023,2,6,6
1450,Stropharia,rugosoannulata,K08,A5,2,1/25/2023,2/15/2023,2/20/2023,2,6,6
1372,Pleurotus,dryinus,SPCC,A3,3,1/25/2023,2/28/2023,3/2/2023,2,6,5
1224,Hericium,erinaceus,II,A1,5,1/27/2023,2/20/2023,3/14/2023,25,0,0
1224,Hericium,erinaceus,II,A1,5,1/27/2023,2/20/2023,3/14/2023,25,0,0
1318,Lepista,sp,Sno,A4,5,1/31/2023,2/22/2023,2/28/2023,2,6,6
1394,Pleurotus,ostreatus,Kamilche - II,A4,3,1/31/2023,2/24/2023,3/1/2023,2,6,6
1343,Omphalotus,olearius,I,A4,5,1/31/2023,2/24/2023,3/1/2023,2,6,6
1395,Pleurotus,ostreatus,Lake Cushman,A4,2,1/31/2023,2/28/2023,3/1/2023,2,6,6
1388,Pleurotus,ostreatus,Garfield,A3,4,1/31/2023,3/8/2023,3/10/2023,2,6,6
1382,Pleurotus,ostreatus,Carrington,A4,5,1/31/2023,2/28/2023,3/1/2023,2,6,6
1117,Fomitopsis,officinalis,Windy Pass I,A4,1,1/31/2023,2/28/2023,3/1/2023,2,6,6
1118,Fomitopsis,officinalis,Windy Pass II,A4,1,1/31/2023,2/24/2023,3/1/2023,2,6,6
1119,Fomitopsis,officinalis,Windy Pass III,A3,1,2/2/2023,3/8/2023,3/10/2023,2,6,NA
1120,Fomitopsis,officinalis,Windy Pass IV,A3,1,2/2/2023,2/28/2023,3/2/2023,2,6,5
1326,Chlorophyllum,rhacodes,II Kamilche,A3,18,2/2/2023,3/8/2023,3/10/2023,2,6,NA
